Dissolve tube [m],"Dissolution pressure
[Mpa]","Discharge tube
[m]","Flow speed (oxygen)
[mL/min]",Flow speed (water)　[mL/min],"Water volume
[mL]","Mean size
[nm]","Mode size
[nm]","NB concentration [×107 particles/ml]
(NB Mean)","MB concentration
 [particles/mL]","Size (bin) 
[µm]","Oxygen content
[mg/L]"
0.12,2,0.7,3.3,46.7,100,124.9,126.4,1.03,686.5,83.82,40.04
0.12,2,0.7,5,45,100,115.5,88.6,2.1,616.2,83.79,41.96
0.12,2,0.7,5,45,100,126.1,131.8,3.43,702.93,83.31,35.02
0.12,2,0.7,10,40,100,135.1,97.1,8.24,653.1,88.4,40.03
0.12,2,0.7,10,40,100,146,148.2,6.47,720.38,88.08,39.7
0.12,2,0.7,25,25,50,120,86.9,12.1,331.96,87.28,37.66
0.12,2,0.7,25,25,50,103.2,91.3,11.32,357.55,85.66,46.12
0.12,2,2,3.3,46.7,100,187.6,141.1,1.73,140.9,98.51,51.65
0.12,2,2,3.3,46.7,100,146.4,95.2,2.57,109.3,103.96,47.51
0.12,2,2,5,45,100,123.9,99.4,1.84,180.36,101.44,48.09
0.12,2,2,5,45,100,161.4,112.2,3.26,198.3,100.43,47.93
0.12,2,2,10,40,100,277.4,102.1,3.95,401.44,102.33,48.29
0.12,2,2,10,40,100,129.1,115.8,2.29,236.44,102.94,48.08
0.12,2,2,25,25,50,103.8,94.4,6.12,112.39,80.41,46.85
0.12,2,2,25,25,50,144.7,144.1,4.35,54.39,106.79,55.74
0.12,2,4,10,40,100,119.4,102.8,4.43,213.71,96.91,49.35
0.12,2,4,10,40,100,160.2,145.7,4.3,285.16,97.33,47.3
0.12,2,4,25,25,50,195.6,122.3,2.61,174.62,101.26,56.68
0.12,2,4,25,25,100,143,115.4,8.67,213.19,99.78,46.54
0.12,2,5,25,25,50,121.9,94.9,8.06,371.72,97.6,56.43
0.12,2,5,25,25,50,138.4,99.5,13.1,200.12,100.91,42.32
0.12,2,5,25,25,50,137.2,107.2,3.43,194.77,95.41,51.53
0.12,2,5,25,25,50,101.6,92.9,3.12,146.12,98.21,48.3
0.12,2,5,25,25,100,146.4,97.6,2.45,171.56,92.04,52.29
0.12,2,5,25,25,100,132.2,94.5,1.52,91.97,91.94,45.9
0.12,2,5,25,25,100,99.4,105.4,1.1,81.57,93.73,49.49
0.12,3,5,25,25,50,146.2,117.8,6.7,130.76,93.63,50.57
0.12,3,5,25,25,50,92,79.4,3.46,131.59,95.81,50.72
0.12,3,5,25,25,100,117.9,94.8,3.18,151.06,95.19,51.16
0.12,3,5,25,25,100,95.1,86.5,0.64,103.34,93.88,50.71
0.12,3,5,25,25,100,199,169.5,2.23,93.71,93.05,50.17
0.12,4,0.7,3.3,46.7,100,156.9,111.1,1.45,743.76,88.75,40.92
0.12,4,0.7,3.3,46.7,100,67.6,56.8,0.88,692.08,89.11,46.22
0.12,4,0.7,5,45,100,140.3,86.1,3.05,423.8,77.57,39.78
0.12,4,0.7,5,45,100,110.1,94.7,5.27,401.5,76.09,37.56
0.12,4,0.7,10,40,100,140.6,102.5,3.11,933.27,89.11,41.98
0.12,4,0.7,10,40,100,116.2,107,6.28,843.2,88.71,39.5
0.12,4,0.7,25,25,100,141.2,97.8,8.93,355.43,88.56,41.57
0.12,4,0.7,25,25,100,115,81.2,7.36,414.22,86.39,41.11
0.12,4,2,3.3,46.7,100,149.6,99.7,1.94,96.29,98.83,50.77
0.12,4,2,3.3,46.7,100,130.2,106.9,2.34,89.06,107.16,49.82
